7-viljahelbed,331,67.6,3.1,5.4,10.8,0.2
8-viljahelbed,353,71.1,4.61,10.8,12.2,1.58
Aedoad,30.4,7.26,0.109,3.26,1.85,2.61
Agaavisiirup,310,76.4,0.5,0.2,0.1,68
Agar-agar,160,74.1,0.3,74.1,2.3,0
Ahjujuust,407,14.3,34.3,0,10.3,14.3
Ahjukartulid,96.8,22.6,0.134,1.34,2.54,0.801
Ahven,114,0,0.81,0,26.7,0
Airan,19.8,1.6,1,0,1.1,1.6
Aiva,58.2,16.2,0.2,5.2,0.5,11
Aleksandrikook,476,54.7,26,2.44,6.85,19.5
Alfalfa idud,27.3,2.1,0.7,1.7,4,0.3
Alkoholivaba õlu,24.6,5.3,0,0,0.4,2.7
Alõtša,39,9.3,0.34,2.4,1.13,5.35
Amarandiseemned,367,65.7,7,6.7,13.6,1.7
Ananass ,46.2,11.3,0.2,1.2,0.4,10
Ananassikonserv,57.9,14.1,0.3,1.3,0.35,12.5
Ananassimahl,45.1,11,0.1,0.5,0.3,10.5
Angerjas,367,0,33,0,17.5,0
Angersäga,111,0,3.5,0,19.8,0
Annoona,66.9,15.7,0.3,2.3,1.5,11.7
Anšoovised,191,0,10,0,25.2,0
Apelsin,42.7,10.2,0.1,1.7,1.1,8.2
Apelsinikeeks,320,34.4,17.5,3.81,8.32,8.65
Apelsinimahl,41.6,9.8,0,0,0.6,8.6
Apelsinimarmelaad,197,49.5,0,0.468,0,49
Aprikoos ,37.3,9.2,0.1,1.7,0.9,7.1
Aprikoosimoos,245,61.1,0.1,1.1,0.6,56.8
Aprikoosinektar,52.3,13.3,0.1,1.3,0.3,12
Apteegitill,29.7,5.56,0.4,3.3,2.8,1.7
Arbuus ,33.5,7.34,0.3,0.1,0.5,7
Aroomisool,112,23,1.1,0,2.5,7.8
Arooniamarjad,52.8,15.9,0.6,5.2,0.4,6
Artišokk,34.6,8.1,0.2,5.4,2.8,1.3
Assortiikomm,561,57.4,35,2.4,5.2,0
Astelpajumahl,45.1,4.5,2.83,0.5,0.66,0.6
Astelpajumarjad,50.8,5.8,3.2,3.6,1.5,2.1
Austrid,101,0,2.5,0,19.5,0
Austrikaste,113,27.4,0.2,0,0.28,17.4
Avokaado ,199,6.7,19.5,4.8,1.9,0.6
Avokaadoõli ,900,0,100,0,0,0
Babka,416,51.6,21.1,3.6,6.69,26.2
Baklava,471,48.3,27.6,3.97,9.48,28.6
Baklažaan,23.4,6.17,0.22,2.64,0.55,3.19
Banaan,90.6,21.7,0.2,1.4,1.2,18.1
Banaanilaastud,530,61.6,31.4,1.7,1,22.1
Baranka,342,64.3,6.47,3.59,8.51,15.8
Barbeque kaste,140,34.2,0.4,1.2,0.6,25.2
Basiilik,29.6,3.3,0.8,1.6,3.1,0
Bataat,118,28.3,0.618,3.19,1.65,4.74
Besee,388,92.4,0,0,4.6,92
Biskviitküpsis,379,78.8,3.8,2.35,8.5,42
Biskviittainas,284,47.9,6.4,1.35,9.6,24.8
Brändi,227,0.8,0,0,0,0.5
Broilerihakkliha,96.7,0.686,2.9,0.086,17,0
Broileriliha,277,0,19.5,0,25.4,0
Brokoli,42.9,6.16,0.648,2.7,4.64,2.05
Brüleekreem,383,11.5,35.6,0,4.22,11.5
Caesari kaste,259,8.13,24.5,0.031,1.53,5.2
